# subject-pins.tsv — GENERATED. Regenerate with `python tools/govkit/govkit.py selfcheck --write`.
#
# One row per gate leg in tools/gate-legs.json: <name>\t<subject>\t<chunk>. TWO fields
# decide whether a leg runs on an automatic bar, and tools/run-gates/run-gates.sh is the
# code that decides: it HOLDS a leg when `subject == kit` OR `chunk == selftests`, and
# runs it otherwise. Both are pinned here, because pinning one left the other free to
# take a leg off every bar with nothing in a diff to see (TOOL-aScouredKit-3).
#
# THIS FILE GRADES CHANGE, NOT CORRECTNESS. It exists so a subject cannot move without
# the move appearing in a diff. Whether any given value is RIGHT is a review judgement
# — the criterion is stated once, at the `subject` field declaration in
# tools/run-gates/run-gates.sh: ask what a FAILURE of the leg MEANS.
agent-cap restatement	repo	product
agent-cap restatement self-test	kit	selftests
agent-cap self-test	kit	selftests
agent-instructions self-test	kit	selftests
agent-instructions wiring	repo	wiring
branch-guard self-test	repo	selftests
build README slot contract	repo	records
build-index selftest	kit	selftests
charter size	repo	product
check-arms selftest	kit	selftests
check-wiring self-test	kit	selftests
codebase-map adopter e2e	kit	e2e
codebase-map coverage + freshness	repo	declarations
codebase-map kit selftest	kit	selftests
corpus-ids selftest	kit	selftests
dead-path carriers (deleted files still named)	repo	declarations
dead-path carriers self-test	kit	selftests
drift-audit records	repo	declarations
drift-audit selftest	kit	selftests
drift-audit wiring	repo	wiring
gotchas selftest	kit	selftests
govkit acceptance matrix	repo	declarations
govkit refusal join	repo	declarations
govkit selfcheck	repo	declarations
govkit selftest	kit	selftests
harness arms (fail branches armed or pinned)	repo	declarations
install-prefix (shipped surface)	repo	product
install-prefix self-test	kit	selftests
kickoff engine size <=18KiB	repo	product
kickoff-manifest ratchet	repo	records
kit version markers	repo	declarations
kit/dogfood doc parity	repo	declarations
lexicon naming predicates	repo	declarations
lexicon selftest	kit	selftests
lexicon wiring	repo	wiring
line length	repo	product
line-length gate selftest	kit	selftests
manifest-check self-test	kit	selftests
marker contracts	repo	declarations
memory hygiene	repo	records
memory-hygiene self-test	kit	selftests
memory-recall kit selftest	kit	selftests
memory-recall skill wiring	repo	wiring
method carriers (every pointer declared)	repo	declarations
method-carriers self-test	kit	selftests
micro-format definitions	repo	product
micro-format gate selftest	kit	selftests
pass-order history	repo	declarations
placeholder-catalogue self-test	kit	selftests
playbook parity	repo	product
playbook parity selftest	kit	selftests
playbook placeholder catalogue	repo	product
playbook render selftest	kit	selftests
playbook render wiring	repo	wiring
playbook validity gate	repo	declarations
pre-push self-test	repo	selftests
profile-bar selftest	kit	selftests
push-main self-test	repo	selftests
pytest-guardrails self-test	kit	selftests
python resolver (behaviour + inline parity + idiom ban)	kit	wiring
recall floor	repo	declarations
recall floor arms	repo	selftests
review-join ban (no ref-keyed join)	repo	declarations
review-join self-test	kit	selftests
review-protocol parity (kit vs dogfood)	repo	declarations
row-grammar selftest	kit	selftests
row-keyed merge driver replay	kit	selftests
run-gates adopter e2e	kit	e2e
run-gates canary	repo	selftests
run-gates evidence	kit	selftests
run-gates gov canary	repo	selftests
run-gates turnstile	kit	selftests
run-gates wiring	repo	wiring
scratch-guard self-test	kit	selftests
settings-merge selftest	kit	selftests
template size <=48KiB	repo	product
template size gate selftest	kit	selftests
testsuite counts (every bar self-test prints one)	repo	declarations
testsuite counts self-test	kit	selftests
tier2-review self-test	kit	selftests
unattended kit gate	repo	declarations
unattended skill wiring	repo	wiring
verdict epoch (kit version dates the engine)	repo	declarations
verdict-epoch self-test	kit	selftests
verifier fan-out	repo	declarations
verifier fan-out self-test	kit	selftests
workflow script syntax	repo	wiring
