# ceiling-evidence.txt — the recorded maximum per gate leg, TRACKED so a gate can read it.
#
# GENERATED by `python tools/run-gates/derive-ceilings.py --write` from
# `<git-dir>/gate-run/*/*.leg`, which keeps one file per leg per run. Do not hand-edit: a
# row here is a claim about a measurement, and one typed by hand is a claim about nothing.
#
# MONOTONE. A row only ever rises. `gate-run` retains a handful of runs, so a quiet window
# would otherwise lower the evidenced maximum and with it the floor every ceiling is held
# above. `--write --reset <leg>` lowers one by DELETING that leg's killed readings from the
# untracked run record, so no later write can hand the value back — which is what a
# decision somebody made has to mean here.
#
# THE SOURCE COLUMN tells a reading this tool derived from the run record apart from one
# taken outside the runner and fed in with `--write --observed '<leg>=<seconds>' --how
# '<how>'`. In-band rows spell `runner`; an out-of-band row spells the operator's
# own account of how the number was taken, beside the node it was taken on. A leg killed
# at its ceiling can produce no in-band reading above that ceiling, which is why the
# out-of-band path exists — and why it is never allowed to look like the in-band one.
#
# <leg>	<max seconds>	<readings>	<node>	<date>	<source>
agent-cap restatement	27.0	1	a	2026-09-06	runner
agent-cap restatement self-test	115.4	2	a	2026-09-24	runner
agent-cap self-test	700.8	2	a	2026-09-24	runner
agent-instructions self-test	27.9	2	a	2026-09-24	runner
agent-instructions wiring	3.0	1	a	2026-09-06	runner
branch-guard self-test	28.6	2	a	2026-09-24	runner
brief-recorded	403.5	2	a	2026-09-24	runner
build README slot contract	1.5	6	a	2026-09-21	runner
build-index selftest	30.4	2	a	2026-09-24	runner
build-method size	3.5	2	a	2026-09-24	runner
charter size	5.2	1	a	2026-09-06	runner
check-arms selftest	15.7	2	a	2026-09-24	runner
check-wiring self-test	751.8	2	a	2026-09-24	runner
codebase-map adopter e2e	56.7	2	a	2026-09-24	runner
codebase-map coverage + freshness	4.0	6	a	2026-09-21	runner
codebase-map gate coverage	1.0	2	a	2026-09-24	runner
codebase-map kit selftest	27.5	1	a	2026-09-24	runner
corpus-ids selftest	165.1	2	a	2026-09-24	runner
dead-path carriers (deleted files still named)	14.5	1	a	2026-09-06	runner
dead-path carriers self-test	131.5	2	a	2026-09-24	runner
drift-audit records	35.5	2	a	2026-09-24	runner
drift-audit selftest	292.5	1	a	2026-09-24	runner
drift-audit wiring	9.8	1	a	2026-09-06	runner
encoding posture (text IO names its encoding)	4.2	2	a	2026-09-24	runner
every held leg is budgeted, every budget row resolves	35.6	2	a	2026-09-24	runner
extract-arms self-test	23.1	2	a	2026-09-24	runner
gotchas selftest	21.4	2	a	2026-09-24	runner
govkit acceptance matrix	218.8	1	a	2026-09-06	runner
govkit refusal join	2.6	1	a	2026-09-06	runner
